id,codigo_cie10,nombre_actual,clase_actual,sigue_diagnostico,clase_recomendada,nombre_sugerido,justificacion,accion_recomendada,confianza,formularios_afectados,riesgo_formularios,obs_mappings
4657,V260,MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR CONDUCTOR LESIONADO E (V260),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4656,V259,MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES MOTOCICLISTA NO ESPEC (V259),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4655,V255,MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES PASAJERO LESIONADO EN (V255),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4654,V254,MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES CONDUCTOR LESIONADO E (V254),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4653,V253,MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES PERSONA LESIONADA AL,Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4652,V252,MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES MOTOCICLISTA NO ESPEC (V252),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4651,V251,MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES PASAJERO LESIONADO EN (V251),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4650,V250,MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES CONDUCTOR LESIONADO E (V250),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4649,V249,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS MOTOCIC (V249),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4648,V245,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS PASAJER (V245),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4647,V244,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS CONDUCT (V244),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4646,V243,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS PERSONA,Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4645,V242,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS MOTOCIC (V242),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4644,V241,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS PASAJER (V241),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4643,V240,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS CONDUCT (V240),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4642,V201,MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL PASAJERO LESIONADO EN ACCIDENTE (V201),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4641,V200,MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL CONDUCTOR LESIONADO EN ACCIDENT (V200),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4640,V199,CICLISTA [CUALQUIERA] LESIONADO EN ACCIDENTE DE TRANSITO NO ESPECIFICADO,Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4639,V198,CICLISTA [CUALQUIERA] LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE ESPECIFICADOS,Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4638,V196,CICLISTA NO ESPECIFICADO LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR Y CON LOS (V196),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4637,V195,PASAJERO DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR Y CON (V195),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4636,V194,CONDUCTOR DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR Y CO (V194),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4635,V193,CICLISTA [CUALQUIERA] LESIONADO EN ACCIDENTE NO DE TRANSITO NO ESPECIFICADO,Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4634,V192,CICLISTA NO ESPECIFICADO LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR Y CON LOS (V192),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4633,V191,PASAJERO DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR Y CON (V191),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4632,V190,CONDUCTOR DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR Y CO (V190),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4631,V189,CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION CICLISTA NO ESPECIFICADO LE (V189),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4630,V185,CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION PASAJERO LESIONADO EN ACCIDE (V185),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4629,V184,CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION CONDUCTOR LESIONADO EN ACCID (V184),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4628,V183,CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION PERSONA LESIONADA AL SUBIR O,Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4627,V182,CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION CICLISTA NO ESPECIFICADO LE (V182),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4626,V181,CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION PASAJERO LESIONADO EN ACCIDE (V181),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4625,V180,CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION CONDUCTOR LESIONADO EN ACCID (V180),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4624,V179,CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO CICLISTA NO ESPECIFICADO (V179),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4623,V175,CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO PASAJERO LESIONADO EN ACC (V175),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4622,V174,CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO CONDUCTOR LESIONADO EN AC (V174),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4621,V173,CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO PERSONA LESIONADA AL SUBI,Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4620,V172,CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO CICLISTA NO ESPECIFICADO (V172),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4619,V171,CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO PASAJERO LESIONADO EN ACC (V171),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4618,V132,CICLISTA LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA CICLISTA NO ESPECI (V132),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4617,V131,CICLISTA LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA PASAJERO LESIONADO (V131),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4616,V130,CICLISTA LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA CONDUCTOR LESIONAD (V130),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4615,V129,CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS CICLISTA NO (V129),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4614,V125,CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS PASAJERO LES (V125),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
4613,V124,CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS CONDUCTOR LE (V124),Diagnosis,NO,Revisión (causa externa),,"CIE-10 Cap. XX (V-Y): causa externa/circunstancia de la lesión, código complementario no diagnóstico","Marcar revisión manual (modelar como causa externa, no Dx)",Alta,Ninguno (no referenciado en JSON de formularios),Bajo en JSON / Medio en buscador Dx de OpenMRS (filtra por clase),Sin mappings en OCL (código va como nombre Short); preservar código al reclasificar
