Uuid,Privilege name,Description,_order:1000
686fd650-8511-4749-99c6-2271aa68b060,app:clinical.chart.attachments,Permite ver archivos adjuntos del paciente dentro del chart.,
c650e809-6271-44f6-b07e-162b27e99fb4,app:clinical.chart.attachments.edit,Permite cargar o eliminar archivos adjuntos del paciente desde el chart.,
979b4e50-e3aa-4ca2-80f8-26503ff694d2,app:clinical.chart.socialHistory,Permite ver la historia social del paciente dentro del chart.,
007f736c-3e13-4e4d-b182-cbe34211e481,app:clinical.chart.socialHistory.edit,Permite registrar o editar historia social del paciente desde el chart.,
15f7f2fb-9dba-4dd5-ad63-0c660f7c10de,app:clinical.chart.family,Permite ver ficha familiar y relaciones del paciente dentro del chart.,
c251459a-fcdf-4971-a6f2-6d01b52f9e98,app:clinical.chart.family.edit,"Permite registrar, editar o eliminar relaciones y datos de ficha familiar desde el chart.",
72b5e6b4-6868-430f-bd24-7e45961f3de9,app:clinical.chart.screenings,Permite ver tamizajes del paciente dentro del chart.,
61a89948-9d58-48cc-88ba-bedcded7949c,app:clinical.chart.screenings.edit,Permite registrar o editar tamizajes del paciente desde el chart.,
33af946d-688f-4fdd-81e5-77e477c7fa50,app:clinical.chart.dentistry,Permite ver la seccion de atencion odontologica dentro del chart.,
bd667e11-6db4-4405-9203-37b52fb5b2ed,app:clinical.chart.dentistry.edit,Permite registrar o editar atenciones odontologicas desde el chart.,
81532a0f-451d-4a88-878d-08e300c10805,app:clinical.chart.psychology,Permite ver la seccion de psicologia del paciente dentro del chart.,
c90e418a-e488-46e3-9b6b-9a6436b7ca1c,app:clinical.chart.psychology.edit,Permite registrar o editar atenciones de psicologia desde el chart.,
8b0baf4c-16d7-4be5-97f4-79e5d17fd1d9,app:clinical.chart.physicalTherapy,Permite ver la seccion de terapia fisica del paciente dentro del chart.,
4557b4b3-5159-408e-b437-3c417be7fefc,app:clinical.chart.physicalTherapy.edit,Permite registrar o editar atenciones de terapia fisica desde el chart.,
e9ac1827-f4ad-46da-b3d0-4c9914045c74,app:clinical.chart.interconsultations,Permite ver interconsultas del paciente dentro del chart.,
b3ac73a8-8d6c-48c2-a8ff-e3fd51b54f1d,app:clinical.chart.interconsultations.edit,"Permite solicitar, responder o gestionar interconsultas desde el chart.",
ed9616a9-292f-438d-bdd1-98b76d3bd65d,app:clinical.chart.immunizations,Permite ver inmunizaciones del paciente dentro del chart.,
00a5c2d7-489e-4007-8580-3312283c6b83,app:clinical.chart.immunizations.edit,"Permite registrar, editar o eliminar inmunizaciones del paciente desde el chart.",
a4f32924-bf7d-4c27-a452-e7bec72a2ae8,app:clinical.chart.imaging,Permite ver estudios e imagenes del paciente dentro del chart.,
a8dc6fcc-1e59-474b-9dfd-da46118e4a75,app:clinical.chart.imaging.edit,"Permite registrar, vincular o editar estudios e imagenes del paciente desde el chart.",
74ff4587-aa03-499c-b06c-2d17d0012b19,app:clinical.chart.programs,Permite ver programas clinicos del paciente dentro del chart.,
9570b71b-a82a-47c7-922c-58dbb3f9af0e,app:clinical.chart.programs.edit,"Permite registrar, editar o eliminar programas clinicos del paciente desde el chart.",
a33ef690-5ceb-46f3-98a8-8d4744e68f2f,app:clinical.chart.billing,Permite ver el historial de facturacion del paciente dentro del chart.,
dce06071-e83d-410f-b10d-9d9baad078a0,app:clinical.chart.billing.edit,"Permite registrar, editar o eliminar cargos de facturacion del paciente desde el chart.",
10de12c7-8e2f-4732-b2b3-20aacfcd1286,app:clinical.chart.prenatalCare,Permite ver la seccion de control prenatal dentro del chart.,
1c6c7a76-8e31-4b5f-8686-add6b6a2e64e,app:clinical.chart.prenatalCare.edit,Permite registrar o editar atenciones de control prenatal desde el chart.,
c3cdf445-f082-4545-8b3c-d053badfe860,app:clinical.chart.labourDelivery,Permite ver la seccion de parto y puerperio dentro del chart.,
ff8ffa6a-75a4-4f8f-848e-a1f8cad9da69,app:clinical.chart.labourDelivery.edit,Permite registrar o editar atenciones de parto y puerperio desde el chart.,
fb5d6ea0-3ff7-4643-b750-92f4492a2b92,app:clinical.chart.postnatalCare,Permite ver la seccion de atencion postnatal dentro del chart.,
f2bdc2ae-a28a-4bd4-bb9b-a125f5960077,app:clinical.chart.postnatalCare.edit,Permite registrar o editar atenciones postnatales desde el chart.,
9f023f64-64ca-4937-acab-1d158608c437,app:clinical.chart.familyPlanning,Permite ver la seccion de planificacion familiar dentro del chart.,
bced2cc7-d16e-4149-81ff-fee33b842673,app:clinical.chart.familyPlanning.edit,Permite registrar o editar atenciones de planificacion familiar desde el chart.,
14adbcea-fcd4-43d6-8b44-f3640d9b6802,app:clinical.chart.cancerPrevention,Permite ver la seccion de prevencion de cancer dentro del chart.,
a114d3cb-4027-4d92-b9b0-52f140e03163,app:clinical.chart.cancerPrevention.edit,Permite registrar o editar atenciones de prevencion de cancer desde el chart.,
25489829-45fd-443c-b6b1-1ae3f7f992cb,app:clinical.chart.caseMonitoring,Permite ver seguimiento de casos del paciente dentro del chart.,
ba965471-56ad-4181-932d-48fee5921085,app:clinical.chart.caseMonitoring.edit,Permite registrar o editar seguimientos de casos del paciente desde el chart.,
f19a3b2b-7234-491b-8252-9c6b1ccdd037,app:clinical.chart.missedFollowUp,Permite ver perdida de seguimiento del paciente dentro del chart.,
93ca0856-2048-4f91-a1e3-9d7e33601c8a,app:clinical.chart.missedFollowUp.edit,Permite registrar o editar eventos de perdida de seguimiento desde el chart.,
3c7d37b0-16fd-4132-9ddb-6ecfdd62e4a2,app:clinical.chart.offlineActions,Permite ver acciones offline del paciente dentro del chart.,
a904c32f-badf-4183-bac1-1decc2c8c68f,app:clinical.chart.offlineActions.edit,Permite ejecutar acciones offline del paciente desde el chart.,
