Uuid,Void/Retire,Fully specified name:es,Description:es,Data class,Data type,Mappings|SAME-AS,_version:1,_order:3200
f1000000-0000-4000-8000-000000000114,,Riesgo alto o inminente,Riesgo alto o inminente identificado durante la evaluacion.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000121,,Consumo no reportado,Consumo de alcohol u otras sustancias no reportado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000122,,Sospecha de consumo,Sospecha de consumo de alcohol u otras sustancias.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000123,,Consumo confirmado,Consumo de alcohol u otras sustancias confirmado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000124,,En tratamiento por consumo,Persona en tratamiento o seguimiento por consumo de sustancias.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000131,,Problema psicosocial,Problema psicosocial priorizado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000132,,Ansiedad,Problema de ansiedad priorizado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000133,,Depresion,Problema depresivo priorizado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000135,,Consumo de sustancias,Problema por consumo de sustancias priorizado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000137,,Duelo,Problema de duelo priorizado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000138,,Conducta suicida,Problema de conducta suicida priorizado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000139,,Otro problema de salud mental,Otro problema de salud mental priorizado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000151,,Acogida y escucha activa,Intervencion de acogida escucha activa y contencion inicial.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000152,,Intervencion breve,Intervencion psicologica breve.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000153,,Psicoeducacion,Intervencion de psicoeducacion.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000154,,Psicoterapia individual,Sesion de psicoterapia individual.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000155,,Psicoterapia familiar,Sesion de psicoterapia familiar.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000156,,Psicoterapia grupal,Sesion de psicoterapia grupal.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000157,,Consejeria en salud mental,Consejeria en salud mental.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000158,,Seguimiento comunitario o visita domiciliaria,Seguimiento comunitario o visita domiciliaria de salud mental.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000161,,Presencial,Atencion presencial.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000162,,Teleconsulta,Atencion por teleconsulta.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000163,,Domiciliaria,Atencion domiciliaria.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000164,,Comunitaria,Atencion comunitaria.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000171,,Continuar tratamiento,Continuar tratamiento o seguimiento psicologico.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000172,,Referir a CSMC,Referir a Centro de Salud Mental Comunitario.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000173,,Interconsulta a psiquiatria,Interconsulta a psiquiatria.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000174,,Activar red de proteccion o emergencia,Activar red de proteccion emergencia o soporte intersectorial.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000175,,Alta o contrarreferencia,Alta contrarreferencia o cierre de episodio.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000181,,SRQ,Self Reporting Questionnaire u otro cuestionario de sintomas generales.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000182,,PHQ-9,Patient Health Questionnaire de nueve items.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000183,,GAD-7,Generalized Anxiety Disorder de siete items.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000184,,AUDIT,Alcohol Use Disorders Identification Test.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000185,,ASSIST,Alcohol Smoking and Substance Involvement Screening Test.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000187,,APGAR familiar,APGAR familiar.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000188,,Ficha de valoracion de riesgo,Ficha de valoracion de riesgo o violencia.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000189,,Otro instrumento de tamizaje,Otro instrumento de tamizaje de salud mental.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000191,,Tamizaje negativo,Tamizaje sin hallazgos de riesgo.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000192,,Tamizaje positivo o en riesgo,Tamizaje positivo o con riesgo identificado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000193,,Sospecha diagnostica,Sospecha diagnostica que requiere evaluacion especializada.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000194,,Requiere atencion urgente,Resultado que requiere atencion urgente o activacion de red de proteccion.,Misc,N/A,,,
