Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:es,Short name:en,Short name:es,Description:en,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1700
f0000016-0000-4000-8000-000000000016,,,SIH.SALUS adherence,Adherencia SIH.SALUS,Adherence,Adherencia,,,Question,Coded,,f0000151-0000-4000-8000-000000000151;f0000152-0000-4000-8000-000000000152;f0000153-0000-4000-8000-000000000153,,,,,,,,,
f0000017-0000-4000-8000-000000000017,,,SIH.SALUS vaccine name,Nombre de vacuna SIH.SALUS,Vaccine name,Vacuna,,,Question,Text,,,,,,,,,,,
f0000018-0000-4000-8000-000000000018,,,SIH.SALUS vaccine lot,Lote de vacuna SIH.SALUS,Vaccine lot,Lote vacuna,,,Question,Text,,,,,,,,,,,
f0000019-0000-4000-8000-000000000019,,,SIH.SALUS ESAVI severity,Severidad ESAVI SIH.SALUS,ESAVI severity,Severidad ESAVI,,,Question,Coded,,f0000161-0000-4000-8000-000000000161;f0000162-0000-4000-8000-000000000162;f0000163-0000-4000-8000-000000000163,,,,,,,,,
f0000180-0000-4000-8000-000000000180,,,Respiratory syncytial virus vaccine,Vacuna contra Virus Sincitial Respiratorio,VRS vaccine,Vacuna VRS,Vaccine for protection against respiratory syncytial virus according to MINSA RM 403-2026-MINSA,Vacuna para protección frente al Virus Sincitial Respiratorio según RM 403-2026-MINSA,Drug,N/A,,,,,,,,,,,
f0000181-0000-4000-8000-000000000181,,,Nirsevimab,Nirsevimab,Nirsevimab,Nirsevimab,Monoclonal antibody for protection against respiratory syncytial virus according to MINSA RM 403-2026-MINSA,Anticuerpo monoclonal para protección frente al Virus Sincitial Respiratorio según RM 403-2026-MINSA,Drug,N/A,,,,,,,,,,,
f0000020-0000-4000-8000-000000000020,,,SIH.SALUS screening method,Método de tamizaje SIH.SALUS,Screening method,Método tamizaje,,,Question,Coded,,f0000114-0000-4000-8000-000000000114;f0000115-0000-4000-8000-000000000115;f0000116-0000-4000-8000-000000000116;f0000117-0000-4000-8000-000000000117,,,,,,,,,
f0000021-0000-4000-8000-000000000021,,,SIH.SALUS pregnancy weeks,Semanas de gestación SIH.SALUS,Pregnancy weeks,Semanas gestación,,,Question,Numeric,,,,FALSE,weeks,,,,,,
6d99603e-ae9d-4838-8a09-ba75e27ff1e9,,,SIH.SALUS anamnesis,Anamnesis SIH.SALUS,Anamnesis,Anamnesis,Current illness narrative according to MINSA history record,Relato de enfermedad actual según registro de historia clínica MINSA,Question,Text,,,,,,,,,,,
577876b1-0b6e-4c57-b4c3-7af969a1d501,,,SIH.SALUS illness duration,Tiempo de enfermedad SIH.SALUS,Illness duration,Tiempo enfermedad,Duration from first sign or symptom according to MINSA consultation record,Tiempo desde el primer signo o síntoma según formato de consulta MINSA,Question,Text,,,,,,,,,,,
34e03399-cb72-484b-85b8-616ef19919c1,,,SIH.SALUS onset type,Forma de inicio SIH.SALUS,Onset type,Forma inicio,How the current illness began,Forma de inicio de la enfermedad actual,Question,Text,,,,,,,,,,,
e7d98188-16ba-4ef3-aed9-e891680bacf9,,,SIH.SALUS illness course,Curso de enfermedad SIH.SALUS,Illness course,Curso enfermedad,Clinical course or evolution of the current illness,Curso o evolución clínica de la enfermedad actual,Question,Text,,,,,,,,,,,
f0000182-0000-4000-8000-000000000182,,,SIH.SALUS appetite,Apetito SIH.SALUS,Appetite,Apetito,Biological function appetite for anamnesis,Función biológica apetito para anamnesis,Question,Text,,,,,,,,,,,
f0000183-0000-4000-8000-000000000183,,,SIH.SALUS thirst,Sed SIH.SALUS,Thirst,Sed,Biological function thirst for anamnesis,Función biológica sed para anamnesis,Question,Text,,,,,,,,,,,
f0000184-0000-4000-8000-000000000184,,,SIH.SALUS sleep,Sueño SIH.SALUS,Sleep,Sueño,Biological function sleep for anamnesis,Función biológica sueño para anamnesis,Question,Text,,,,,,,,,,,
f0000185-0000-4000-8000-000000000185,,,SIH.SALUS mood,Estado de ánimo SIH.SALUS,Mood,Ánimo,Biological function mood for anamnesis,Función biológica estado de ánimo para anamnesis,Question,Text,,,,,,,,,,,
f0000186-0000-4000-8000-000000000186,,,SIH.SALUS urine,Orina SIH.SALUS,Urine,Orina,Biological function urine for anamnesis,Función biológica orina para anamnesis,Question,Text,,,,,,,,,,,
f0000187-0000-4000-8000-000000000187,,,SIH.SALUS bowel movements,Deposiciones SIH.SALUS,Bowel movements,Deposiciones,Biological function bowel movements for anamnesis,Función biológica deposiciones para anamnesis,Question,Text,,,,,,,,,,,
f0000101-0000-4000-8000-000000000101,,,SIH.SALUS normal screening answer,Respuesta normal de tamizaje SIH.SALUS,,,,,Misc,N/A,,,,,,,,,,,
f0000102-0000-4000-8000-000000000102,,,SIH.SALUS risk screening answer,Respuesta riesgo de tamizaje SIH.SALUS,,,,,Misc,N/A,,,,,,,,,,,
f0000103-0000-4000-8000-000000000103,,,SIH.SALUS abnormal screening answer,Respuesta anormal de tamizaje SIH.SALUS,,,,,Misc,N/A,,,,,,,,,,,
f0000104-0000-4000-8000-000000000104,,,Referred,Referido,,,,,Misc,N/A,,,,,,,,,,,
f0000111-0000-4000-8000-000000000111,,,EDI,EDI,,,,,Misc,N/A,,,,,,,,,,,
f0000112-0000-4000-8000-000000000112,,,Autism screening,Tamizaje TEA,,,,,Misc,N/A,,,,,,,,,,,
f0000113-0000-4000-8000-000000000113,,,Perinatal mental health,Salud mental perinatal,,,,,Misc,N/A,,,,,,,,,,,
f0000114-0000-4000-8000-000000000114,,,Pap smear,PAP,,,,,Misc,N/A,,,,,,,,,,,
f0000115-0000-4000-8000-000000000115,,,SIH.SALUS VIA screening method,Metodo IVAA SIH.SALUS,,,,,Misc,N/A,,,,,,,,,,,
f0000116-0000-4000-8000-000000000116,,,HPV molecular test,Prueba molecular VPH,HPV test,VPH,,,Misc,N/A,,,,,,,,,,,
f0000117-0000-4000-8000-000000000117,,,Breast clinical exam,Examen clínico de mama,Breast exam,Examen mama,,,Misc,N/A,,,,,,,,,,,
f0000121-0000-4000-8000-000000000121,,,Adequate growth,Crecimiento adecuado,Adequate growth,Crecimiento adecuado,,,Misc,N/A,,,,,,,,,,,
f0000122-0000-4000-8000-000000000122,,,Growth risk,Riesgo de crecimiento,Growth risk,Riesgo crecimiento,,,Misc,N/A,,,,,,,,,,,
f0000123-0000-4000-8000-000000000123,,,Acute malnutrition,Desnutrición aguda,Acute malnutrition,Desnutrición aguda,,,Misc,N/A,,,,,,,,,,,
f0000124-0000-4000-8000-000000000124,,,Chronic malnutrition,Desnutrición crónica,Chronic malnutrition,Desnutrición crónica,,,Misc,N/A,,,,,,,,,,,
f0000125-0000-4000-8000-000000000125,,,Overweight or obesity,Sobrepeso u obesidad,Overweight/obesity,Sobrepeso/obesidad,,,Misc,N/A,,,,,,,,,,,
f0000131-0000-4000-8000-000000000131,,,No evidence,Sin evidencia,No evidence,Sin evidencia,,,Misc,N/A,,,,,,,,,,,
f0000132-0000-4000-8000-000000000132,,,Suspected case,Caso sospechoso,Suspected,Sospechoso,,,Misc,N/A,,,,,,,,,,,
f0000133-0000-4000-8000-000000000133,,,Confirmed or disclosed case,Caso confirmado o referido,Confirmed,Confirmado,,,Misc,N/A,,,,,,,,,,,
f0000141-0000-4000-8000-000000000141,,,Male condom,Condón masculino,Condom,Condón,,,Misc,N/A,,,,,,,,,,,
f0000142-0000-4000-8000-000000000142,,,Oral contraceptive,Anticonceptivo oral,Oral contraceptive,Oral,,,Misc,N/A,,,,,,,,,,,
f0000143-0000-4000-8000-000000000143,,,Injectable contraceptive,Anticonceptivo inyectable,Injectable,Inyectable,,,Misc,N/A,,,,,,,,,,,
f0000144-0000-4000-8000-000000000144,,,Implant,Implante,Implant,Implante,,,Misc,N/A,,,,,,,,,,,
f0000145-0000-4000-8000-000000000145,,,Intrauterine device,Dispositivo intrauterino,IUD,DIU,,,Misc,N/A,,,,,,,,,,,
f0000146-0000-4000-8000-000000000146,,,Emergency contraception,Anticoncepción oral de emergencia,Emergency contraception,AOE,,,Misc,N/A,,,,,,,,,,,
f0000147-0000-4000-8000-000000000147,,,Voluntary surgical contraception,Anticoncepción quirúrgica voluntaria,Surgical contraception,AQV,,,Misc,N/A,,,,,,,,,,,
f0000151-0000-4000-8000-000000000151,,,Good adherence,Buena adherencia,Good adherence,Buena,,,Misc,N/A,,,,,,,,,,,
f0000152-0000-4000-8000-000000000152,,,Partial adherence,Adherencia parcial,Partial adherence,Parcial,,,Misc,N/A,,,,,,,,,,,
f0000153-0000-4000-8000-000000000153,,,Poor adherence,Baja adherencia,Poor adherence,Baja,,,Misc,N/A,,,,,,,,,,,
f0000161-0000-4000-8000-000000000161,,,SIH.SALUS mild ESAVI severity,Severidad ESAVI leve SIH.SALUS,,,,,Misc,N/A,,,,,,,,,,,
f0000162-0000-4000-8000-000000000162,,,SIH.SALUS moderate ESAVI severity,Severidad ESAVI moderada SIH.SALUS,,,,,Misc,N/A,,,,,,,,,,,
f0000163-0000-4000-8000-000000000163,,,SIH.SALUS severe ESAVI severity,Severidad ESAVI severa SIH.SALUS,,,,,Misc,N/A,,,,,,,,,,,
f0000170-0000-4000-8000-000000000170,,,CE-REF referral type,Tipo de referencia CE-REF,Referral type,Tipo referencia,,,Question,Coded,,f0000171-0000-4000-8000-000000000171;f0000172-0000-4000-8000-000000000172;f0000173-0000-4000-8000-000000000173,,,,,,,,,
f0000171-0000-4000-8000-000000000171,,,Emergency referral,Referencia de emergencia,Emergency,Emergencia,,,Misc,N/A,,,,,,,,,,,
f0000172-0000-4000-8000-000000000172,,,Urgency referral,Referencia de urgencia,Urgency,Urgencia,,,Misc,N/A,,,,,,,,,,,
f0000173-0000-4000-8000-000000000173,,,Elective referral,Referencia electiva,Elective,Electiva,,,Misc,N/A,,,,,,,,,,,
f0000174-0000-4000-8000-000000000174,,,CE-REF counter-referral response,Respuesta de contrarreferencia CE-REF,Counter-referral response,Resp. contrarreferencia,,,Question,Text,,,,,,,,,,,
f0000175-0000-4000-8000-000000000175,,,CE-REF patient condition on return,Condición del paciente al retorno CE-REF,Patient condition on return,Cond. retorno,,,Question,Coded,,f0000176-0000-4000-8000-000000000176;f0000177-0000-4000-8000-000000000177;f0000178-0000-4000-8000-000000000178;f0000179-0000-4000-8000-000000000179,,,,,,,,,
f0000176-0000-4000-8000-000000000176,,,Improved,Mejorado,Improved,Mejorado,,,Misc,N/A,,,,,,,,,,,
f0000177-0000-4000-8000-000000000177,,,Unchanged,Sin cambio,Unchanged,Sin cambio,,,Misc,N/A,,,,,,,,,,,
f0000178-0000-4000-8000-000000000178,,,Deteriorated,Deteriorado,Deteriorated,Deteriorado,,,Misc,N/A,,,,,,,,,,,
f0000179-0000-4000-8000-000000000179,,,SIH.SALUS deceased return condition,Condicion fallecido al retorno SIH.SALUS,,,,,Misc,N/A,,,,,,,,,,,
6a1e18c1-8874-45fe-92dd-26758d5d6ba7,,,Referral destination facility,Establecimiento destino de la referencia,Referral destination,Destino referencia,,,Question,Text,,,,,,,,,,,
bdf63a89-fb2c-48c5-a670-8a0032aae816,,,Referral diagnosis CIE-10 code,Diagnóstico CIE-10 de la referencia,Diagnosis CIE-10,Diagnóstico CIE-10,,,Question,Text,,,,,,,,,,,
2d53d39f-c93f-4128-8f7c-1bb45b498497,,,NTS-139 diagnosis type,Tipo de diagnóstico NTS-139,Diagnosis type,Tipo diagnóstico,,,Question,Coded,,4f59cf03-f888-4d34-a5dc-f24269b1945d;2c60a8f6-1787-41be-8434-30ebeb5656ff;6f653861-8469-4dfa-a0b5-2804f1cfc527,,,,,,,,,
4f59cf03-f888-4d34-a5dc-f24269b1945d,,,Presumptive diagnosis,Diagnóstico presuntivo,Presumptive,Presuntivo,,,Misc,N/A,,,,,,,,,,,
2c60a8f6-1787-41be-8434-30ebeb5656ff,,,Definitive diagnosis,Diagnóstico definitivo,Definitive,Definitivo,,,Misc,N/A,,,,,,,,,,,
6f653861-8469-4dfa-a0b5-2804f1cfc527,,,Repetitive diagnosis,Diagnóstico repetitivo,Repetitive,Repetitivo,,,Misc,N/A,,,,,,,,,,,
7f6d62df-4c96-4d7f-9d39-0e799b248101,,,SIH.SALUS HIV program,Programa VIH SIH.SALUS,HIV program,Programa VIH,,,Program,N/A,,,,,,,,,,,
a4dfe61e-1d0b-4ff6-b594-516aa6385102,,,SIH.SALUS older adult program,Programa adulto mayor SIH.SALUS,Older adult program,Programa adulto mayor,,,Program,N/A,,,,,,,,,,,
7ba3aa21-cc56-47ca-bb4d-a60549f666c0,,,SIH.SALUS general outpatient queue service,Servicio de cola consulta externa SIH.SALUS,General outpatient queue,Consulta externa cola,,,Misc,N/A,,,,,,,,,,,
4ec5c4fe-cfe0-48ff-9e4d-2f201078feae,,,SIH.SALUS nursing queue service,Servicio de cola enfermeria SIH.SALUS,Nursing queue,Enfermeria cola,,,Misc,N/A,,,,,,,,,,,
74156b5c-b1b0-4432-b073-a8af65ebcb11,,,SIH.SALUS pharmacy queue service,Servicio de cola farmacia SIH.SALUS,Pharmacy queue,Farmacia cola,,,Misc,N/A,,,,,,,,,,,
e6a43c30-71ac-4ec6-9757-c78a50ee8e8b,,,SIH.SALUS laboratory queue service,Servicio de cola laboratorio SIH.SALUS,Laboratory queue,Laboratorio cola,,,Misc,N/A,,,,,,,,,,,
115b9e98-0bb4-4791-afa6-d21d071cfd87,,,SIH.SALUS hospitalization queue service,Servicio de cola hospitalizacion SIH.SALUS,Hospitalization queue,Hospitalizacion cola,,,Misc,N/A,,,,,,,,,,,
e5f6a7b8-c9d0-42f3-93e4-2b0a9c8d7e05,,,SIH.SALUS emergency queue service,Servicio de cola emergencia SIH.SALUS,Emergency queue,Emergencia cola,,,Misc,N/A,,,,,,,,,,,
a6d7f9b3-2c5e-48d1-93e4-7f8a6b5c2d02,,,SIH.SALUS obstetrics queue service,Servicio de cola obstetricia SIH.SALUS,Obstetrics queue,Obstetricia cola,,,Misc,N/A,,,,,,,,,,,
70b7402d-fdfe-4707-94d8-5eb5780ffde5,,,SIH.SALUS imaging queue service,Servicio de cola diagnostico por imagenes SIH.SALUS,Imaging queue,Imagenes cola,,,Misc,N/A,,,,,,,,,,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,,,SIH.SALUS queue service set,Conjunto de servicios de cola SIH.SALUS,Queue service set,Servicios cola,,,ConvSet,N/A,,,7ba3aa21-cc56-47ca-bb4d-a60549f666c0;4ec5c4fe-cfe0-48ff-9e4d-2f201078feae;74156b5c-b1b0-4432-b073-a8af65ebcb11;e6a43c30-71ac-4ec6-9757-c78a50ee8e8b;115b9e98-0bb4-4791-afa6-d21d071cfd87;e5f6a7b8-c9d0-42f3-93e4-2b0a9c8d7e05;a6d7f9b3-2c5e-48d1-93e4-7f8a6b5c2d02;70b7402d-fdfe-4707-94d8-5eb5780ffde5,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2001,,,ABO blood group,Grupo sanguíneo ABO,Blood group,Grupo sanguíneo,ABO blood group for patient registration,Grupo sanguíneo ABO para registro de paciente,Question,Coded,,9b3df0a1-0c58-4f55-9868-9c38f1db2011;9b3df0a1-0c58-4f55-9868-9c38f1db2012;9b3df0a1-0c58-4f55-9868-9c38f1db2013;9b3df0a1-0c58-4f55-9868-9c38f1db2014,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2011,,,Blood group A,Grupo sanguíneo A,A,A,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2012,,,Blood group B,Grupo sanguíneo B,B,B,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2013,,,Blood group AB,Grupo sanguíneo AB,AB,AB,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2014,,,Blood group O,Grupo sanguíneo O,O,O,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2002,,,Rh factor,Factor Rh,Rh,Rh,Rh factor for patient registration,Factor Rh para registro de paciente,Question,Coded,,9b3df0a1-0c58-4f55-9868-9c38f1db2021;9b3df0a1-0c58-4f55-9868-9c38f1db2022,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2021,,,Rh positive,Rh positivo,Positivo,Positivo,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2022,,,Rh negative,Rh negativo,Negativo,Negativo,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2003,,,Medical record status,Estado de historia clínica,HC status,Estado HC,Documentary status of the patient medical record,Estado documental de la historia clínica del paciente,Question,Coded,,9b3df0a1-0c58-4f55-9868-9c38f1db2031;9b3df0a1-0c58-4f55-9868-9c38f1db2032;9b3df0a1-0c58-4f55-9868-9c38f1db2033,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2031,,,Active medical record,Historia clínica activa,Activa,Activa,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2032,,,Passive medical record,Historia clínica pasiva,Pasiva,Pasiva,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2033,,,Deleted medical record,Historia clínica eliminada,Eliminada,Eliminada,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2004,,,Medical record archive type,Tipo de archivo de historia clínica,Archive type,Tipo archivo,Archive classification for the patient medical record,Clasificación de archivo de historia clínica del paciente,Question,Coded,,9b3df0a1-0c58-4f55-9868-9c38f1db2041;9b3df0a1-0c58-4f55-9868-9c38f1db2042,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2041,,,Common archive,Archivo común,Común,Común,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2042,,,Special archive,Archivo especial,Especial,Especial,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2005,,,Insurance accreditation status,Estado de acreditación de seguro,Accreditation status,Estado acreditación,Insurance accreditation status recorded in admission,Estado de acreditación de seguro registrado en admisión,Question,Coded,,9b3df0a1-0c58-4f55-9868-9c38f1db2051;9b3df0a1-0c58-4f55-9868-9c38f1db2052;9b3df0a1-0c58-4f55-9868-9c38f1db2053;9b3df0a1-0c58-4f55-9868-9c38f1db2054,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2051,,,Current accreditation,Acreditación vigente,Vigente,Vigente,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2052,,,Expired accreditation,Acreditación no vigente,No vigente,No vigente,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2053,,,Pending accreditation,Acreditación pendiente,Pendiente,Pendiente,,,Misc,N/A,,,,,,,,,,,
9b3df0a1-0c58-4f55-9868-9c38f1db2054,,,Not checked accreditation,Acreditación no consultada,No consultada,No consultada,,,Misc,N/A,,,,,,,,,,,
