Uuid,Void/Retire,Fully specified name:es,Description:es,Data class,Data type,Mappings|SAME-AS,_version:1,_order:3600
c2380032-0000-4000-8000-000000000032,,Detalle desarrollo motor sensorial,Detalle de habilidades motoras o sensoriales ausentes o observadas.,Question,Text,,,
c2380033-0000-4000-8000-000000000033,,Ausencia en desarrollo socioemocional,Ausencia de habilidades o conductas esperadas en desarrollo socioemocional.,Question,Coded,,,
c2380034-0000-4000-8000-000000000034,,Detalle desarrollo socioemocional,Detalle de habilidades socioemocionales ausentes o observadas.,Question,Text,,,
c2380035-0000-4000-8000-000000000035,,Ausencia en desarrollo del lenguaje,Ausencia de habilidades o conductas esperadas en desarrollo del lenguaje.,Question,Coded,,,
c2380036-0000-4000-8000-000000000036,,Detalle desarrollo del lenguaje,Detalle de habilidades de lenguaje ausentes o observadas.,Question,Text,,,
c2380037-0000-4000-8000-000000000037,,Ausencia en desarrollo cognitivo,Ausencia de habilidades o conductas esperadas en desarrollo cognitivo.,Question,Coded,,,
c2380038-0000-4000-8000-000000000038,,Detalle desarrollo cognitivo,Detalle de habilidades cognitivas ausentes o observadas.,Question,Text,,,
c2380039-0000-4000-8000-000000000039,,Factor de riesgo para desarrollo infantil,Presencia de factor de riesgo para desarrollo infantil segun evaluacion CRED.,Question,Coded,,,
c2380040-0000-4000-8000-000000000040,,Detalle factor de riesgo desarrollo infantil,Detalle de factores de riesgo o proteccion relacionados al desarrollo infantil.,Question,Text,,,
c2380041-0000-4000-8000-000000000041,,Resultado lista habilidades y conductas,Interpretacion de la lista de habilidades y conductas esperadas por edad.,Question,Coded,,,
c2380042-0000-4000-8000-000000000042,,Accion inmediata lista habilidades,Accion inmediata segun resultado de lista de habilidades y conductas esperadas.,Question,Coded,,,
c2380043-0000-4000-8000-000000000043,,Edad en anos para lista de habilidades,Edad en anos cumplidos para aplicar lista de habilidades y conductas esperadas.,Question,Numeric,,,
c2380101-0000-4000-8000-000000000101,,Huanca Test adaptado,Prueba Huanca Test adaptada para vigilancia del neurodesarrollo hasta 36 meses.,Misc,N/A,,,
c2380102-0000-4000-8000-000000000102,,Lista de habilidades y conductas esperadas,Lista de habilidades y conductas esperadas por edad para ninos de 4 a 11 anos.,Misc,N/A,,,
c2380111-0000-4000-8000-000000000111,,Observacion directa,Hito o habilidad evaluada mediante observacion directa.,Misc,N/A,,,
c2380112-0000-4000-8000-000000000112,,Reporte del cuidador,Hito o habilidad registrada por reporte de madre padre o cuidador.,Misc,N/A,,,
c2380113-0000-4000-8000-000000000113,,Observacion y reporte,Hito o habilidad evaluada mediante observacion directa y reporte del cuidador.,Misc,N/A,,,
c2380121-0000-4000-8000-000000000121,,Pauta recien nacido,Pauta Huanca Test para recien nacido.,Misc,N/A,,,
c2380122-0000-4000-8000-000000000122,,Pauta 15 a 21 dias,Pauta Huanca Test entre 15 y 21 dias.,Misc,N/A,,,
c2380123-0000-4000-8000-000000000123,,Pauta 2 meses,Pauta Huanca Test para 2 meses.,Misc,N/A,,,
c2380124-0000-4000-8000-000000000124,,Pauta 3 meses,Pauta Huanca Test para 3 a 5 meses.,Misc,N/A,,,
c2380125-0000-4000-8000-000000000125,,Pauta 6 meses,Pauta Huanca Test para 6 a 8 meses.,Misc,N/A,,,
c2380126-0000-4000-8000-000000000126,,Pauta 9 meses,Pauta Huanca Test para 9 a 11 meses.,Misc,N/A,,,
c2380127-0000-4000-8000-000000000127,,Pauta 12 meses,Pauta Huanca Test para 12 a 17 meses.,Misc,N/A,,,
c2380128-0000-4000-8000-000000000128,,Pauta 18 meses,Pauta Huanca Test para 18 a 23 meses.,Misc,N/A,,,
c2380129-0000-4000-8000-000000000129,,Pauta 24 meses,Pauta Huanca Test para 24 a 29 meses.,Misc,N/A,,,
c2380130-0000-4000-8000-000000000130,,Pauta 30 meses,Pauta Huanca Test para 30 a 36 meses.,Misc,N/A,,,
c2380141-0000-4000-8000-000000000141,,Pauta 4 anos,Pauta de habilidades y conductas para 4 anos.,Misc,N/A,,,
c2380142-0000-4000-8000-000000000142,,Pauta 5 anos,Pauta de habilidades y conductas para 5 anos.,Misc,N/A,,,
c2380143-0000-4000-8000-000000000143,,Pauta 6 anos,Pauta de habilidades y conductas para 6 anos.,Misc,N/A,,,
c2380144-0000-4000-8000-000000000144,,Pauta 7 anos,Pauta de habilidades y conductas para 7 anos.,Misc,N/A,,,
c2380145-0000-4000-8000-000000000145,,Pauta 8 anos,Pauta de habilidades y conductas para 8 anos.,Misc,N/A,,,
c2380146-0000-4000-8000-000000000146,,Pauta 9 anos,Pauta de habilidades y conductas para 9 anos.,Misc,N/A,,,
c2380147-0000-4000-8000-000000000147,,Pauta 10 anos,Pauta de habilidades y conductas para 10 anos.,Misc,N/A,,,
c2380148-0000-4000-8000-000000000148,,Pauta 11 anos,Pauta de habilidades y conductas para 11 anos.,Misc,N/A,,,
c2380151-0000-4000-8000-000000000151,,Desarrollo esperado,Resultado compatible con desarrollo esperado para la edad.,Misc,N/A,,,
c2380152-0000-4000-8000-000000000152,,Alerta por un hito no logrado,Alerta por un hito no logrado para la pauta de edad.,Misc,N/A,,,
c2380153-0000-4000-8000-000000000153,,Alerta por dos o mas hitos no logrados,Alerta por dos o mas hitos no logrados para la pauta de edad.,Misc,N/A,,,
c2380154-0000-4000-8000-000000000154,,Ausencia de habilidad esperada,Ausencia de habilidad o conducta esperada por edad.,Misc,N/A,,,
c2380155-0000-4000-8000-000000000155,,Evaluacion no concluyente,Evaluacion no concluyente por condicion del nino o informacion no confiable.,Misc,N/A,,,
c2380161-0000-4000-8000-000000000161,,Continuar controles y consejeria,Continuar controles CRED y consejeria de desarrollo infantil.,Misc,N/A,,,
c2380162-0000-4000-8000-000000000162,,ATD semanal y reevaluacion mensual,Programar atencion temprana del desarrollo semanal y reevaluacion al mes.,Misc,N/A,,,
c2380163-0000-4000-8000-000000000163,,ATD semanal y prueba EDI,Programar atencion temprana del desarrollo semanal y aplicar prueba EDI.,Misc,N/A,,,
c2380164-0000-4000-8000-000000000164,,Interconsulta o referencia especializada,Realizar interconsulta derivacion o referencia a profesional especializado.,Misc,N/A,,,
c2380165-0000-4000-8000-000000000165,,Reprogramar evaluacion,Reprogramar evaluacion cuando el nino no se encuentra en condiciones de ser evaluado.,Misc,N/A,,,
